epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
177,16770.2,0.53259,0.59689,0.95482,0.98956,0.98246,0.99325,0.97813,0.04393,0.16457,0.03361,0.00041392,0.00041392,0.00041392
178,16859.1,0.52923,0.6857,0.95216,0.98731,0.98246,0.99442,0.99135,0.04544,0.23829,0.03393,0.00041059,0.00041059,0.00041059
179,16947.4,0.52866,0.63901,0.99087,0.98128,0.98246,0.99466,0.96929,0.05063,0.18705,0.03559,0.00040726,0.00040726,0.00040726
180,17035.9,0.6057,0.64634,1.02335,0.99509,0.98246,0.99419,0.99295,0.03903,0.23039,0.03167,0.00040393,0.00040393,0.00040393
181,17124.4,0.52654,0.56329,0.99722,0.9962,0.98246,0.99319,0.99208,0.03878,0.17089,0.03113,0.0004006,0.0004006,0.0004006
182,17213.2,0.60369,0.67659,1.05049,0.99353,0.98246,0.99442,0.99418,0.04611,0.17005,0.03377,0.00039727,0.00039727,0.00039727
183,17301.8,0.52935,0.57865,0.93986,0.9736,0.97059,0.98894,0.97881,0.05563,0.22196,0.04098,0.00039394,0.00039394,0.00039394
184,17391.2,0.54455,0.61696,0.96634,0.98492,0.97368,0.99048,0.98317,0.03989,0.24113,0.03516,0.00039061,0.00039061,0.00039061
185,17480.5,0.58322,0.69607,1.00852,0.99781,0.99123,0.995,0.995,0.03602,0.17237,0.03375,0.00038728,0.00038728,0.00038728
186,17569.4,0.61047,0.73088,1.02626,0.9983,0.99123,0.995,0.99446,0.03507,0.19196,0.0323,0.00038395,0.00038395,0.00038395
187,17659.3,0.55963,0.61058,1.02958,0.98132,0.99123,0.99482,0.98927,0.03742,0.2066,0.03306,0.00038062,0.00038062,0.00038062
188,17748.6,0.50381,0.59764,0.97802,0.99115,0.98253,0.99491,0.99491,0.04042,0.19862,0.03428,0.00037729,0.00037729,0.00037729
189,17851.4,0.58341,0.62677,1.01689,0.99349,0.97368,0.99448,0.99005,0.04109,0.18001,0.03461,0.00037396,0.00037396,0.00037396
190,18051.8,0.51248,0.7301,0.98196,0.97234,0.98246,0.99378,0.98169,0.04797,0.14873,0.04096,0.00037063,0.00037063,0.00037063
191,18141,0.57612,0.7383,1.00513,0.98555,0.98246,0.99372,0.98786,0.04688,0.26509,0.03921,0.0003673,0.0003673,0.0003673
192,18230.4,0.56272,0.67092,1.02292,0.99494,0.98246,0.99426,0.98414,0.04598,0.19057,0.03827,0.00036397,0.00036397,0.00036397
193,18318.9,0.58995,0.71543,1.02825,0.99129,0.99829,0.995,0.99253,0.04194,0.19424,0.03355,0.00036064,0.00036064,0.00036064
194,18407.6,0.49566,0.55855,0.9555,0.99232,0.99123,0.995,0.98972,0.0456,0.17982,0.03626,0.00035731,0.00035731,0.00035731
195,18496,0.56322,0.64896,1.00884,0.98095,0.99123,0.99483,0.98832,0.04514,0.14099,0.0382,0.00035398,0.00035398,0.00035398
196,18584.1,0.58091,0.69221,1.04463,0.99298,0.99123,0.995,0.96574,0.05343,0.15813,0.04022,0.00035065,0.00035065,0.00035065
197,18672.8,0.54475,0.69526,1.02706,0.99306,0.98246,0.99483,0.97558,0.04803,0.19658,0.03643,0.00034732,0.00034732,0.00034732
198,18761.9,0.52712,0.64131,0.97745,0.98157,0.99123,0.99465,0.98921,0.03877,0.21482,0.03367,0.00034399,0.00034399,0.00034399
199,18849.9,0.49633,0.53032,0.97163,0.98783,0.98246,0.99465,0.99458,0.03823,0.1734,0.03315,0.00034066,0.00034066,0.00034066
200,18937.9,0.5383,0.69002,0.96083,0.99717,0.98246,0.99474,0.97663,0.04625,0.13245,0.03543,0.00033733,0.00033733,0.00033733
201,19025.9,0.52638,0.6666,0.9805,1,0.99957,0.995,0.97755,0.04287,0.27427,0.03451,0.000334,0.000334,0.000334
202,19114.5,0.5496,0.65409,1.01997,0.99859,1,0.995,0.995,0.0371,0.3345,0.03354,0.00033067,0.00033067,0.00033067
203,19202.6,0.49615,0.62822,0.95507,0.99499,0.99123,0.995,0.99459,0.03768,0.22632,0.03302,0.00032734,0.00032734,0.00032734
204,19291.2,0.49229,0.54578,0.98322,0.98718,0.99123,0.995,0.99462,0.04311,0.31022,0.03477,0.00032401,0.00032401,0.00032401
205,19379.3,0.52233,0.6157,0.98558,0.98385,0.99123,0.995,0.98083,0.04986,0.28515,0.03904,0.00032068,0.00032068,0.00032068
206,19467.3,0.51235,0.56263,0.97629,0.98229,0.99123,0.99491,0.9894,0.04114,0.15861,0.03492,0.00031735,0.00031735,0.00031735
207,19555.7,0.51031,0.54115,0.96504,0.97336,1,0.99483,0.98831,0.04291,0.18687,0.03401,0.00031402,0.00031402,0.00031402
208,19643.6,0.5408,0.60396,0.99737,0.97721,0.99123,0.99491,0.99195,0.04234,0.12885,0.03254,0.00031069,0.00031069,0.00031069
209,19731.2,0.54211,0.61045,0.98264,0.94163,0.99123,0.99296,0.99043,0.05221,0.16245,0.03578,0.00030736,0.00030736,0.00030736
