epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4029.02,0.89982,1.23918,1.16106,1,0.97225,0.98857,0.83787,0.08369,0.39814,0.0702,0.00086347,0.00086347,0.00086347
43,4121.93,0.9143,1.27145,1.16446,0.96455,0.95479,0.98176,0.85255,0.0809,0.42257,0.0697,0.00086014,0.00086014,0.00086014
44,4213.59,0.94981,1.32816,1.22754,0.95212,0.92982,0.98489,0.84152,0.08788,0.97397,0.0775,0.00085681,0.00085681,0.00085681
45,4303.52,0.90984,1.21416,1.1611,0.96785,0.92105,0.98077,0.83647,0.08708,0.41814,0.08064,0.00085348,0.00085348,0.00085348
46,4395.34,0.91614,1.13708,1.16359,0.97978,0.96491,0.99207,0.86527,0.09335,0.69389,0.08021,0.00085015,0.00085015,0.00085015
47,4488.72,0.86905,1.18942,1.08584,0.9459,0.87719,0.96567,0.83528,0.08246,0.38298,0.07146,0.00084682,0.00084682,0.00084682
48,4582.29,0.88571,1.24458,1.18398,0.98205,0.95994,0.99303,0.88999,0.07908,0.42895,0.06605,0.00084349,0.00084349,0.00084349
49,4674.63,0.85425,1.15042,1.14462,0.98228,0.97258,0.99303,0.90888,0.06993,0.70463,0.05902,0.00084016,0.00084016,0.00084016
50,4772.14,0.93649,1.40512,1.16534,0.97534,0.95614,0.98536,0.85586,0.07794,1.02935,0.06417,0.00083683,0.00083683,0.00083683
51,4863.46,0.82859,1.13259,1.0953,0.97762,0.98246,0.9943,0.88915,0.07974,0.6792,0.06275,0.0008335,0.0008335,0.0008335
52,4954.12,0.89736,1.15638,1.16029,0.99114,0.98127,0.99379,0.89102,0.06359,0.36026,0.05975,0.00083017,0.00083017,0.00083017
53,5046.62,0.79951,1.02232,1.08836,0.95705,0.97729,0.99283,0.84432,0.08567,0.33922,0.07002,0.00082684,0.00082684,0.00082684
54,5138.17,0.86183,1.13333,1.12276,0.9911,0.97728,0.99211,0.87993,0.0798,0.50033,0.06642,0.00082351,0.00082351,0.00082351
55,5230.31,0.85555,1.20759,1.09364,0.9549,0.98246,0.98887,0.87457,0.08215,1.25111,0.06077,0.00082018,0.00082018,0.00082018
56,5320.16,0.88754,1.12011,1.137,0.97098,0.98246,0.99335,0.88091,0.0806,0.61605,0.06524,0.00081685,0.00081685,0.00081685
57,5410.96,0.89858,1.11723,1.162,0.98325,0.99123,0.99465,0.87764,0.07665,0.4981,0.05845,0.00081352,0.00081352,0.00081352
58,5500.64,0.87891,1.09877,1.12087,0.98075,0.98246,0.99096,0.86411,0.08809,0.58007,0.06609,0.00081019,0.00081019,0.00081019
59,5592.54,0.90404,1.06519,1.17071,0.94322,0.97368,0.97691,0.85768,0.07549,0.46665,0.06024,0.00080686,0.00080686,0.00080686
